자치구,월평균소득,1백만미만,1백만~2백만미만,2백만~3백만 미만,3백만~4백만 미만,4백만~5백만 미만,5백만 이상
전체,324.1,5.9,13.7,21.6,27.1,15.3,16.4
종로구,299,9.2,18.8,19.9,22.3,14.1,15.8
중구,281.2,6.2,15.7,31.1,26.6,13.5,6.8
용산구,307.8,3.5,20.4,25.1,22.8,12.9,15.3
성동구,330.8,2.7,10.6,23.4,29.2,20.3,13.8
광진구,297.9,8.4,17.7,22.3,23.9,9.7,18
동대문구,320.7,4.5,12.3,22.9,28.7,17.9,13.6
중랑구,264,9.3,21,26.7,22.4,10,10.6
성북구,290.9,5.8,19.1,23.3,31.7,11.4,8.7
강북구,278.5,9.9,16.9,18.3,30.9,16.7,7.3
도봉구,290.8,8.8,18.2,25.3,23.2,12.3,12.3
노원구,297.8,11.6,12.4,18.5,28.5,12.6,16.4
은평구,292.3,2.9,15.7,31.1,31.1,10.6,8.6
서대문구,332.4,6.1,12.6,19,27.6,19.6,15.1
마포구,360.2,2.7,11,22.3,24.9,19.7,19.4
양천구,336.2,7.7,12.6,20.3,21.3,13,25
강서구,292.6,7.4,12.6,26.3,30.4,12.4,10.9
구로구,317.3,1.1,10.2,25.5,35.9,17.3,10.1
금천구,241.8,12.7,23.8,25.4,19.8,9.8,8.5
영등포구,337.5,6.4,14,21,24.4,14.3,19.9
동작구,316.7,4.4,13.8,18.3,32.4,18.5,12.6
관악구,266.7,12.4,19.1,24.1,22.4,10.1,11.9
서초구,479.8,0.7,3.7,6.6,25.3,25.5,38.1
강남구,453.6,1.6,8,12.5,21.5,20.4,35.9
송파구,376.2,1.5,7.1,16.7,30.3,21,23.4
강동구,337.3,1.1,8.9,25.6,33.6,15.9,14.9
