지역,진학률 전체,전문대학 진학률,대학교 진학률,국외 진학률,취업률,기타
강남구,48.8,8.3,40.4,0.1,0.4,50.8
강동구,62.8,19.9,42.5,0.3,1.7,35.5
강북구,61,25.3,35.5,0.2,0.1,39
강서구,59.3,20,38.9,0.3,1.5,39.2
관악구,65.3,25.3,40,0.1,2.4,32.3
광진구,61.8,18.3,42.6,0.8,1.4,36.8
구로구,64.4,28,36.3,0.1,0.8,34.8
금천구,73.6,31.1,42.3,0.2,3.8,22.6
노원구,61.7,19.2,42.5,0,1.6,36.7
도봉구,59.5,17.9,41.1,0.5,2.3,38.1
동대문구,67.7,24.2,43,0.4,0.7,31.6
동작구,61.8,24.4,37.4,0,1,37.2
마포구,64.9,23.2,41.6,0.1,0.3,34.8
서대문구,62.3,23.4,38.9,0.1,2.1,35.6
서초구,50.7,9.2,41.4,0.1,0,49.3
성동구,60,20.1,39.8,0.1,3.9,36.1
성북구,65,23,41.9,0.1,0.5,34.5
송파구,63.1,20.7,42.1,0.3,3.4,33.5
양천구,54.3,54.3,39.1,0.1,0.4,45.2
영등포구,65,65,38.3,0.5,1.2,33.8
용산구,61.8,61.8,41,0.2,3,35.2
은평구,65.4,65.4,41.2,0.4,3.8,30.8
종로구,61.3,61.3,45.9,1.2,2,36.7
중구,60.5,60.5,46,0.2,2.4,37.1
중랑구,62.5,62.5,37.1,0.1,2.8,34.7
평균(서울),60.5,60.5,40.8,0.3,1.6,37.9
